Data;MÊS;Código;Produto;Peças Recebidas com Defeito;Lote;Fábrica Origem;Transportadora;Valor unitario;Valor total;Categoria;;
43839;JAN;59587;Produto S;343;BT361;Fábrica Nordeste;Vai e Vêm;13,33;4572,19;TERCEIROS;;
43839;JAN;71644;Produto J;477;T276TL;Fábrica Nordeste;Novo Horizonte;3,64;1736,28;HIDRO;;
43839;JAN;36379;Produto G;144;T306A;Fábrica Nordeste;Gavião;2,23;321,12;TERCEIROS;;
43839;JAN;65472;Produto U;323;S216TO;Fábrica Sudeste;Flash;0,91;293,93;TERCEIROS;;
43839;JAN;30581;Produto M;309;T312;Fábrica Sudeste;Vai e Vêm;7,66;2366,94;MAKE;;
43839;JAN;44847;Produto P;285;T332;Fábrica Sudeste;Vai e Vêm;10,32;2941,2;TERCEIROS;;
43839;JAN;44452;Produto V;24;T297TC;Fábrica Nordeste;Rapidex;4,73;113,52;HIDRO;;
43839;JAN;36379;Produto G;90;T315TO;Fábrica Sudeste;Rapidex;2,21;198,9;TERCEIROS;;
43839;JAN;73791;Produto B;485;T295;Fábrica Nordeste;Del Monte;3,07;1488,95;CREMES;;
43841;JAN;41460;Produto E;55;bt336;Fábrica Sudeste;Novo Horizonte;10,29;565,95;GIFT;;
43841;JAN;49060;Produto A;368;bt361;Fábrica Sudeste;Vai e Vêm;13,33;4905,44;GIFT;;
43841;JAN;73791;Produto B;371;bt340;Fábrica Nordeste;Flash;9,49;3520,79;TERCEIROS;;
43841;JAN;38309;Produto W;98;BT361;Fábrica Sudeste;Vai e Vêm;13,33;1306,34;GIFT;;
43841;JAN;30581;Produto M;444;T351;Fábrica Nordeste;Vai e Vêm;4,93;2188,92;GIFT;;
43841;JAN;38309;Produto W;360;bt324;Fábrica Nordeste;Del Monte;2,82;1015,2;MAKE;;
43841;JAN;38309;Produto W;255;BT357;Fábrica Sudeste;Flash;3,74;953,7;TERCEIROS;;
43841;JAN;59587;Produto S;299;BT355;Fábrica Nordeste;Rapidex;6,77;2024,23;GIFT;;
43841;JAN;39682;Produto K;373;BT355;Fábrica Nordeste;Del Monte;10,16;3789,68;GIFT;;
43841;JAN;30581;Produto M;62;bt318;Fábrica Nordeste;Del Monte;2,69;166,78;TERCEIROS;;
43841;JAN;34905;Produto H;15;bt361;Fábrica Nordeste;Flash;7,68;115,2;HIDRO;;
43841;JAN;58880;Produto L;131;T348T;Fábrica Nordeste;Del Monte;5,03;658,93;HIDRO;;
43841;JAN;44847;Produto P;287;T232TA;Fábrica Nordeste;Novo Horizonte;3,88;1113,56;TERCEIROS;;
43841;JAN;44452;Produto V;469;T303TL;Fábrica Sudeste;Rapidex;3,17;1486,73;GIFT;;
43841;JAN;79267;Produto X;301;T264;Fábrica Nordeste;Novo Horizonte;8;2408;MAKE;;
43843;JAN;79267;Produto X;397;T344TL;Fábrica Sudeste;Del Monte;6,01;2385,97;HIDRO;;
43843;JAN;41460;Produto E;18;BT345;Fábrica Sudeste;Del Monte;9,54;171,72;GIFT;;
43843;JAN;73791;Produto B;443;BT323;Fábrica Sudeste;Del Monte;7,71;3415,53;TERCEIROS;;
43843;JAN;70428;Produto O;473;BT315;Fábrica Sudeste;Novo Horizonte;5,94;2809,62;TERCEIROS;;
43843;JAN;71644;Produto J;392;BT357;Fábrica Nordeste;Rapidex;3,74;1466,08;MAKE;;
43843;JAN;38309;Produto W;417;U004;Fábrica Nordeste;Flash;5,51;2297,67;MAKE;;
43843;JAN;73791;Produto B;107;T344ATL;Fábrica Nordeste;Rapidex;8,94;956,58;MAKE;;
43843;JAN;39682;Produto K;314;BT347;Fábrica Nordeste;Flash;4,05;1271,7;TERCEIROS;;
43843;JAN;70118;Produto T;153;T353AT;Fábrica Sudeste;Flash;4,33;662,49;CREMES;;
43843;JAN;46609;Produto Q;196;T344;Fábrica Sudeste;Del Monte;7,21;1413,16;TERCEIROS;;
43843;JAN;34344;Produto Y;163;BT355;Fábrica Sudeste;Del Monte;6,77;1103,51;CREMES;;
43843;JAN;79267;Produto X;57;BT313;Fábrica Nordeste;Flash;11,91;678,87;HIDRO;;
43843;JAN;70428;Produto O;312;T355;Fábrica Nordeste;Novo Horizonte;15,16;4729,92;MAKE;;
43843;JAN;77891;Produto R;327;t222t;Fábrica Nordeste;Del Monte;16,46;5382,42;HIDRO;;
43843;JAN;48128;Produto F;436;t287a;Fábrica Nordeste;Flash;6,83;2977,88;MAKE;;
43843;JAN;70428;Produto O;377;s229a;Fábrica Nordeste;Flash;4,5;1696,5;TERCEIROS;;
43843;JAN;30581;Produto M;186;T308;Fábrica Nordeste;Gavião;6,66;1238,76;GIFT;;
43843;JAN;29670;Produto D;341;BT361A;Fábrica Nordeste;Vai e Vêm;5,86;1998,26;HIDRO;;
43843;JAN;41460;Produto E;334;BT38D;Fábrica Sudeste;Gavião;0,58;193,72;CREMES;;
43843;JAN;70118;Produto T;23;T241;Fábrica Sudeste;Flash;5,1;117,3;HIDRO;;
43843;JAN;37166;Produto N;138;BT257;Fábrica Sudeste;Novo Horizonte;5,09;702,42;GIFT;;
43843;JAN;29670;Produto D;320;T354AT;Fábrica Nordeste;Flash;5,49;1756,8;HIDRO;;
43843;JAN;44452;Produto V;364;T112;Fábrica Sudeste;Del Monte;3,68;1339,52;MAKE;;
43843;JAN;73791;Produto B;426;BT311;Fábrica Nordeste;Novo Horizonte;3,65;1554,9;GIFT;;
43843;JAN;38309;Produto W;428;T323;Fábrica Sudeste;Gavião;5,23;2238,44;HIDRO;;
43843;JAN;77891;Produto R;406;T327;Fábrica Nordeste;Novo Horizonte;10,47;4250,82;CREMES;;
43843;JAN;65472;Produto U;126;T319;Fábrica Nordeste;Flash;7,56;952,56;GIFT;;
43843;JAN;37166;Produto N;342;T329;Fábrica Sudeste;Rapidex;5,78;1976,76;TERCEIROS;;
43843;JAN;46609;Produto Q;15;T326;Fábrica Sudeste;Flash;6,38;95,7;HIDRO;;
43843;JAN;39682;Produto K;117;T222;Fábrica Nordeste;Novo Horizonte;2,9;339,3;CREMES;;
43843;JAN;65472;Produto U;39;T3167O;Fábrica Sudeste;Flash;2,21;86,19;GIFT;;
43843;JAN;37166;Produto N;148;T339A;Fábrica Sudeste;Novo Horizonte;4,92;728,16;MAKE;;
43843;JAN;44847;Produto P;157;T260TL;Fábrica Nordeste;Rapidex;1,54;241,78;TERCEIROS;;
43843;JAN;34344;Produto Y;319;T290B;Fábrica Sudeste;Del Monte;3,55;1132,45;MAKE;;
43843;JAN;73791;Produto B;193;S009B;Fábrica Nordeste;Rapidex;4,52;872,36;MAKE;;
43844;JAN;34344;Produto Y;219;T345;Fábrica Sudeste;Gavião;11,85;2595,15;CREMES;;
43844;JAN;29670;Produto D;214;U007;Fábrica Sudeste;Novo Horizonte;13,58;2906,12;HIDRO;;
43844;JAN;79267;Produto X;321;T350TA;Fábrica Nordeste;Rapidex;4,74;1521,54;CREMES;;
43844;JAN;59587;Produto S;440;T256A;Fábrica Nordeste;Del Monte;7,59;3339,6;MAKE;;
43844;JAN;70118;Produto T;270;bt326;Fábrica Sudeste;Vai e Vêm;10,29;2778,3;HIDRO;;
43844;JAN;79267;Produto X;456;BT281;Fábrica Nordeste;Rapidex;8,66;3948,96;TERCEIROS;;
43844;JAN;49060;Produto A;96;T336;Fábrica Sudeste;Vai e Vêm;4,31;413,76;MAKE;;
43844;JAN;37166;Produto N;9;BT357;Fábrica Nordeste;Del Monte;3,74;33,66;MAKE;;
43844;JAN;71644;Produto J;466;T341;Fábrica Sudeste;Rapidex;5,27;2455,82;CREMES;;
43844;JAN;37166;Produto N;50;T067T;Fábrica Sudeste;Vai e Vêm;8,83;441,5;CREMES;;
43844;JAN;73791;Produto B;355;bt347;Fábrica Nordeste;Flash;3,15;1118,25;CREMES;;
43844;JAN;46609;Produto Q;70;T283;Fábrica Nordeste;Rapidex;0,56;39,2;HIDRO;;
43844;JAN;79267;Produto X;152;BT147;Fábrica Sudeste;Flash;3,06;465,12;HIDRO;;
43844;JAN;70118;Produto T;141;T315TA;Fábrica Sudeste;Del Monte;4,96;699,36;TERCEIROS;;
43844;JAN;59587;Produto S;475;T327;Fábrica Sudeste;Del Monte;5,78;2745,5;GIFT;;
43844;JAN;37166;Produto N;186;T189TT;Fábrica Sudeste;Novo Horizonte;7,23;1344,78;HIDRO;;
43844;JAN;71644;Produto J;329;T334;Fábrica Sudeste;Vai e Vêm;9,56;3145,24;MAKE;;
43840;JAN;37166;Produto N;17;BT340;Fábrica Nordeste;Flash;7,65;130,05;TERCEIROS;;
43840;JAN;37166;Produto N;306;BT355;Fábrica Nordeste;Vai e Vêm;10,16;3108,96;GIFT;;
43840;JAN;34905;Produto H;388;BT360;Fábrica Sudeste;Vai e Vêm;13,37;5187,56;TERCEIROS;;
43840;JAN;39682;Produto K;301;BT313;Fábrica Nordeste;Rapidex;11,91;3584,91;MAKE;;
43840;JAN;34344;Produto Y;192;BT362;Fábrica Sudeste;Del Monte;13,33;2559,36;GIFT;;
43840;JAN;36379;Produto G;332;T303;Fábrica Nordeste;Gavião;3,6;1195,2;CREMES;;
43840;JAN;34344;Produto Y;386;T360;Fábrica Sudeste;Novo Horizonte;7,07;2729,02;CREMES;;
43840;JAN;77891;Produto R;264;T324BT;Fábrica Sudeste;Vai e Vêm;5,65;1491,6;TERCEIROS;;
43840;JAN;65472;Produto U;162;BT343;Fábrica Sudeste;Novo Horizonte;3,11;503,82;CREMES;;
43840;JAN;79267;Produto X;117;T353CT;Fábrica Nordeste;Del Monte;4,33;506,61;HIDRO;;
43840;JAN;39682;Produto K;389;T246TC;Fábrica Sudeste;Novo Horizonte;13,85;5387,65;TERCEIROS;;
43840;JAN;71644;Produto J;368;BA23R;Fábrica Sudeste;Vai e Vêm;21,75;8004;CREMES;;
43840;JAN;58880;Produto L;156;T220TO;Fábrica Nordeste;Del Monte;1,43;223,08;CREMES;;
43840;JAN;30581;Produto M;168;T331TO;Fábrica Sudeste;Del Monte;4,87;818,16;GIFT;;
43840;JAN;77891;Produto R;52;T329ATA;Fábrica Sudeste;Vai e Vêm;4,35;226,2;MAKE;;
43840;JAN;58880;Produto L;319;T206;Fábrica Nordeste;Del Monte;15,99;5100,81;TERCEIROS;;
43840;JAN;46609;Produto Q;105;T323;Fábrica Sudeste;Del Monte;1,69;177,45;HIDRO;;
43841;JAN;34344;Produto Y;247;BT336;Fábrica Nordeste;Vai e Vêm;10,29;2541,63;TERCEIROS;;
43841;JAN;49060;Produto A;150;T347;Fábrica Nordeste;Novo Horizonte;13,35;2002,5;CREMES;;
43841;JAN;73791;Produto B;12;T264;Fábrica Nordeste;Vai e Vêm;8;96;HIDRO;;
43841;JAN;71594;Produto C;38;BT357;Fábrica Sudeste;Del Monte;6,77;257,26;GIFT;;
43841;JAN;34344;Produto Y;100;T353;Fábrica Sudeste;Novo Horizonte;11,98;1198;MAKE;;
43841;JAN;41763;Produto I;174;BT352A;Fábrica Sudeste;Del Monte;10,59;1842,66;MAKE;;
43841;JAN;44847;Produto P;263;BT362;Fábrica Nordeste;Novo Horizonte;3,97;1044,11;HIDRO;;
43841;JAN;41460;Produto E;152;T283;Fábrica Sudeste;Rapidex;2,91;442,32;GIFT;;
43841;JAN;39682;Produto K;58;T253;Fábrica Sudeste;Gavião;4,68;271,44;GIFT;;
43841;JAN;38309;Produto W;8;BT254A;Fábrica Sudeste;Del Monte;3,19;25,52;HIDRO;;
43841;JAN;70118;Produto T;464;T332;Fábrica Nordeste;Flash;15,48;7182,72;HIDRO;;
43841;JAN;34905;Produto H;283;T143;Fábrica Nordeste;Gavião;9,24;2614,92;HIDRO;;
43841;JAN;73791;Produto B;304;BT352;Fábrica Nordeste;Vai e Vêm;4,49;1364,96;MAKE;;
43841;JAN;73791;Produto B;76;BT351;Fábrica Nordeste;Rapidex;1,65;125,4;HIDRO;;
43841;JAN;30581;Produto M;360;T199;Fábrica Nordeste;Gavião;13,69;4928,4;CREMES;;
43841;JAN;44847;Produto P;275;T229;Fábrica Nordeste;Gavião;1,8;495;CREMES;;
43841;JAN;77891;Produto R;185;T312;Fábrica Nordeste;Vai e Vêm;2,96;547,6;TERCEIROS;;
43841;JAN;59587;Produto S;1;T322TA;Fábrica Nordeste;Rapidex;4,15;4,15;CREMES;;
43843;JAN;48128;Produto F;122;U002;Fábrica Sudeste;Gavião;15,21;1855,62;CREMES;;
43843;JAN;29670;Produto D;41;BT357;Fábrica Sudeste;Novo Horizonte;6,77;277,57;GIFT;;
43843;JAN;41763;Produto I;421;BT352A;Fábrica Nordeste;Del Monte;10,59;4458,39;CREMES;;
43843;JAN;44847;Produto P;31;BT363;Fábrica Sudeste;Vai e Vêm;9,37;290,47;MAKE;;
43843;JAN;44452;Produto V;13;T309;Fábrica Sudeste;Flash;8,43;109,59;CREMES;;
43843;JAN;29670;Produto D;314;T292TL;Fábrica Nordeste;Rapidex;5,93;1862,02;CREMES;;
43843;JAN;34344;Produto Y;71;T361B;Fábrica Nordeste;Vai e Vêm;7,62;541,02;TERCEIROS;;
43844;JAN;36379;Produto G;396;T297;Fábrica Sudeste;Vai e Vêm;3,08;1219,68;CREMES;;
43844;JAN;48128;Produto F;275;T302;Fábrica Sudeste;Flash;3,06;841,5;GIFT;;
43844;JAN;48128;Produto F;221;t345a;Fábrica Sudeste;Del Monte;15,64;3456,44;GIFT;;
43844;JAN;59587;Produto S;150;BT326;Fábrica Sudeste;Vai e Vêm;1,53;229,5;GIFT;;
43844;JAN;41763;Produto I;348;BT310;Fábrica Nordeste;Vai e Vêm;12,73;4430,04;CREMES;;
43844;JAN;58880;Produto L;431;t316;Fábrica Sudeste;Del Monte;2,61;1124,91;HIDRO;;
43844;JAN;77891;Produto R;59;S066T;Fábrica Sudeste;Flash;11,39;672,01;GIFT;;
43844;JAN;41460;Produto E;225;T331;Fábrica Sudeste;Rapidex;8,59;1932,75;HIDRO;;
43844;JAN;39682;Produto K;272;T173TL;Fábrica Sudeste;Del Monte;3,12;848,64;TERCEIROS;;
43844;JAN;65472;Produto U;120;T252;Fábrica Nordeste;Gavião;2,97;356,4;MAKE;;
43844;JAN;37166;Produto N;370;BT354;Fábrica Nordeste;Del Monte;3,02;1117,4;MAKE;;
43844;JAN;41763;Produto I;190;BT339;Fábrica Nordeste;Novo Horizonte;13,65;2593,5;TERCEIROS;;
43844;JAN;71644;Produto J;470;T317TS;Fábrica Nordeste;Rapidex;1,52;714,4;GIFT;;
43844;JAN;29670;Produto D;258;T317TS;Fábrica Nordeste;Vai e Vêm;10,32;2662,56;GIFT;;
43844;JAN;30581;Produto M;300;T212AT;Fábrica Sudeste;Novo Horizonte;4,88;1464;TERCEIROS;;
43844;JAN;70118;Produto T;44;T267TA;Fábrica Nordeste;Flash;5,05;222,2;GIFT;;
43844;JAN;48128;Produto F;259;T276TA;Fábrica Nordeste;Vai e Vêm;5,17;1339,03;GIFT;;
43844;JAN;29670;Produto D;137;T305;Fábrica Nordeste;Del Monte;4,3;589,1;CREMES;;
43844;JAN;59587;Produto S;43;TE23W;Fábrica Nordeste;Rapidex;0,25;10,75;MAKE;;
43844;JAN;59587;Produto S;332;T316TO;Fábrica Nordeste;Del Monte;2,21;733,72;HIDRO;;
43844;JAN;44452;Produto V;277;T275;Fábrica Sudeste;Rapidex;8,55;2368,35;GIFT;;
43844;JAN;46609;Produto Q;406;T170A;Fábrica Sudeste;Del Monte;27,5;11165;TERCEIROS;;
43844;JAN;77891;Produto R;9;T346;Fábrica Nordeste;Novo Horizonte;17,99;161,91;TERCEIROS;;
43844;JAN;39682;Produto K;135;BT330;Fábrica Nordeste;Gavião;9,15;1235,25;MAKE;;
43844;JAN;79267;Produto X;151;T235;Fábrica Nordeste;Novo Horizonte;13,79;2082,29;HIDRO;;
43844;JAN;71594;Produto C;323;U004;Fábrica Nordeste;Vai e Vêm;11,09;3582,07;TERCEIROS;;
43844;JAN;34344;Produto Y;372;BT339;Fábrica Nordeste;Flash;5,09;1893,48;HIDRO;;
43844;JAN;29670;Produto D;335;T317;Fábrica Sudeste;Vai e Vêm;10,32;3457,2;MAKE;;
43844;JAN;70118;Produto T;212;BT352;Fábrica Sudeste;Flash;6,74;1428,88;GIFT;;
43844;JAN;49060;Produto A;472;T343;Fábrica Nordeste;Vai e Vêm;11,13;5253,36;TERCEIROS;;
43844;JAN;41763;Produto I;416;BT38D;Fábrica Nordeste;Gavião;17,01;7076,16;MAKE;;
43844;JAN;29670;Produto D;219;T278;Fábrica Nordeste;Rapidex;5,01;1097,19;CREMES;;
43844;JAN;44847;Produto P;421;T351;Fábrica Nordeste;Flash;8,25;3473,25;HIDRO;;
43844;JAN;30581;Produto M;81;T346;Fábrica Sudeste;Vai e Vêm;10,31;835,11;CREMES;;
43844;JAN;77891;Produto R;337;T339;Fábrica Nordeste;Novo Horizonte;9,69;3265,53;HIDRO;;
43844;JAN;71644;Produto J;37;T332A;Fábrica Nordeste;Rapidex;3,1;114,7;TERCEIROS;;
43844;JAN;59587;Produto S;361;S254;Fábrica Sudeste;Novo Horizonte;2,32;837,52;MAKE;;
43844;JAN;34905;Produto H;8;T344;Fábrica Sudeste;Flash;5,36;42,88;TERCEIROS;;
43844;JAN;71594;Produto C;478;T327;Fábrica Sudeste;Vai e Vêm;10,47;5004,66;HIDRO;;
43844;JAN;71594;Produto C;240;T339TA;Fábrica Nordeste;Rapidex;4,1;984;HIDRO;;
43844;JAN;59587;Produto S;191;BT357A;Fábrica Nordeste;Del Monte;3,74;714,34;HIDRO;;
43845;JAN;41763;Produto I;3;BU007;Fábrica Sudeste;Del Monte;9,5;28,5;MAKE;;
43845;JAN;59587;Produto S;141;T337;Fábrica Sudeste;Rapidex;17,27;2435,07;CREMES;;
43845;JAN;38309;Produto W;412;T308TS;Fábrica Sudeste;Flash;2,84;1170,08;TERCEIROS;;
43845;JAN;79267;Produto X;331;S116TS;Fábrica Sudeste;Gavião;10,85;3591,35;MAKE;;
43845;JAN;38309;Produto W;284;BT322;Fábrica Nordeste;Gavião;2,69;763,96;CREMES;;
43845;JAN;34905;Produto H;326;BT360A;Fábrica Nordeste;Vai e Vêm;4,02;1310,52;HIDRO;;
43845;JAN;70118;Produto T;446;T287A;Fábrica Nordeste;Gavião;6,83;3046,18;TERCEIROS;;
43845;JAN;65472;Produto U;208;T113B;Fábrica Sudeste;Novo Horizonte;3,68;765,44;HIDRO;;
43845;JAN;71594;Produto C;52;T141;Fábrica Sudeste;Flash;9,17;476,84;CREMES;;
43845;JAN;34344;Produto Y;264;S216;Fábrica Sudeste;Flash;4,5;1188;HIDRO;;
43845;JAN;38309;Produto W;105;BU004;Fábrica Nordeste;Novo Horizonte;3,74;392,7;GIFT;;
43845;JAN;65472;Produto U;440;T014;Fábrica Sudeste;Del Monte;5,38;2367,2;MAKE;;
43845;JAN;34344;Produto Y;124;T185B;Fábrica Nordeste;Gavião;14,96;1855,04;MAKE;;
43845;JAN;44452;Produto V;77;T355AT;Fábrica Nordeste;Flash;5,49;422,73;GIFT;;
43845;JAN;71594;Produto C;195;T301;Fábrica Nordeste;Novo Horizonte;9,56;1864,2;TERCEIROS;;
43845;JAN;70118;Produto T;179;T347;Fábrica Nordeste;Flash;1,81;323,99;TERCEIROS;;
43845;JAN;58880;Produto L;434;T345A;Fábrica Nordeste;Rapidex;4,29;1861,86;GIFT;;
43845;JAN;34905;Produto H;375;T361;Fábrica Nordeste;Gavião;15,64;5865;GIFT;;
43845;JAN;71594;Produto C;398;bt336;Fábrica Nordeste;Flash;11,15;4437,7;GIFT;;
43845;JAN;34344;Produto Y;205;BT330;Fábrica Sudeste;Rapidex;9,15;1875,75;MAKE;;
43845;JAN;30581;Produto M;338;T112;Fábrica Sudeste;Rapidex;3,68;1243,84;HIDRO;;
43845;JAN;39682;Produto K;258;U004;Fábrica Nordeste;Gavião;5,51;1421,58;TERCEIROS;;
43845;JAN;48128;Produto F;307;T354;Fábrica Nordeste;Vai e Vêm;9,71;2980,97;GIFT;;
43845;JAN;59587;Produto S;169;T345TL;Fábrica Sudeste;Del Monte;6,01;1015,69;CREMES;;
43845;JAN;44452;Produto V;40;BT289;Fábrica Nordeste;Flash;14,42;576,8;TERCEIROS;;
43845;JAN;44452;Produto V;262;T353CT;Fábrica Sudeste;Novo Horizonte;4,33;1134,46;CREMES;;
43845;JAN;65472;Produto U;3;T288;Fábrica Nordeste;Gavião;6,39;19,17;TERCEIROS;;
43845;JAN;65472;Produto U;225;T354AT;Fábrica Sudeste;Vai e Vêm;5,49;1235,25;GIFT;;
43845;JAN;70118;Produto T;365;BT343;Fábrica Sudeste;Del Monte;3,11;1135,15;HIDRO;;
43845;JAN;71644;Produto J;109;BT254A;Fábrica Nordeste;Novo Horizonte;3,19;347,71;GIFT;;
43845;JAN;65472;Produto U;441;T351TA;Fábrica Sudeste;Rapidex;5,33;2350,53;TERCEIROS;;
43845;JAN;36379;Produto G;368;BT354;Fábrica Sudeste;Novo Horizonte;3,02;1111,36;CREMES;;
43845;JAN;59587;Produto S;396;BU006;Fábrica Nordeste;Rapidex;1,68;665,28;MAKE;;
43845;JAN;73791;Produto B;45;U004;Fábrica Nordeste;Del Monte;13,7;616,5;HIDRO;;
43845;JAN;39682;Produto K;354;BT313;Fábrica Sudeste;Gavião;4,22;1493,88;HIDRO;;
43845;JAN;44452;Produto V;406;T286;Fábrica Nordeste;Flash;0,56;227,36;HIDRO;;
43845;JAN;34905;Produto H;376;T198;Fábrica Nordeste;Del Monte;7,47;2808,72;CREMES;;
43845;JAN;34344;Produto Y;114;t222t;Fábrica Sudeste;Vai e Vêm;16,46;1876,44;HIDRO;;
43845;JAN;70428;Produto O;4;BT361;Fábrica Sudeste;Vai e Vêm;7,68;30,72;TERCEIROS;;
43846;JAN;71644;Produto J;144;TE23W;Fábrica Nordeste;Novo Horizonte;0,9;129,6;GIFT;;
43846;JAN;58880;Produto L;178;BU006;Fábrica Sudeste;Del Monte;8,41;1496,98;CREMES;;
43846;JAN;29670;Produto D;64;BU006;Fábrica Sudeste;Vai e Vêm;4,65;297,6;HIDRO;;
43846;JAN;65472;Produto U;115;BT343;Fábrica Sudeste;Flash;3,11;357,65;MAKE;;
43846;JAN;59587;Produto S;110;BT352;Fábrica Nordeste;Flash;4,49;493,9;TERCEIROS;;
43846;JAN;58880;Produto L;396;t322;Fábrica Nordeste;Del Monte;8,63;3417,48;CREMES;;
43846;JAN;70118;Produto T;317;u004;Fábrica Nordeste;Gavião;15,48;4907,16;TERCEIROS;;
43846;JAN;70428;Produto O;155;T288;Fábrica Nordeste;Vai e Vêm;12,13;1880,15;GIFT;;
43846;JAN;44847;Produto P;173;T347;Fábrica Nordeste;Gavião;13,35;2309,55;MAKE;;
43846;JAN;34905;Produto H;310;BT343;Fábrica Sudeste;Novo Horizonte;3,11;964,1;GIFT;;
43846;JAN;44452;Produto V;29;BT304;Fábrica Nordeste;Vai e Vêm;14,12;409,48;CREMES;;
43846;JAN;58880;Produto L;173;BT247;Fábrica Sudeste;Del Monte;24,66;4266,18;CREMES;;
43846;JAN;44847;Produto P;155;BU002;Fábrica Nordeste;Rapidex;3,74;579,7;TERCEIROS;;
43846;JAN;41460;Produto E;95;T299;Fábrica Sudeste;Del Monte;3,36;319,2;GIFT;;
43846;JAN;34905;Produto H;323;T112;Fábrica Nordeste;Rapidex;3,68;1188,64;HIDRO;;
43846;JAN;48128;Produto F;410;U006;Fábrica Sudeste;Vai e Vêm;11,12;4559,2;TERCEIROS;;
43846;JAN;36379;Produto G;232;S185T;Fábrica Nordeste;Flash;6,36;1475,52;GIFT;;
43846;JAN;70118;Produto T;267;T332A;Fábrica Sudeste;Novo Horizonte;2,99;798,33;HIDRO;;
43846;JAN;58880;Produto L;234;S351TC;Fábrica Nordeste;Gavião;9,26;2166,84;GIFT;;
43846;JAN;71594;Produto C;41;BA23R;Fábrica Sudeste;Rapidex;6,43;263,63;CREMES;;
43846;JAN;36379;Produto G;259;T198T;Fábrica Nordeste;Gavião;7,47;1934,73;TERCEIROS;;
43846;JAN;77891;Produto R;285;U003AT;Fábrica Nordeste;Del Monte;6,39;1821,15;GIFT;;
43846;JAN;41460;Produto E;93;BT361A;Fábrica Sudeste;Novo Horizonte;2,97;276,21;MAKE;;
43847;JAN;58880;Produto L;10;T354AT;Fábrica Sudeste;Rapidex;5,97;59,7;CREMES;;
43847;JAN;39682;Produto K;469;U009;Fábrica Sudeste;Flash;7,62;3573,78;GIFT;;
43847;JAN;30581;Produto M;174;BU002;Fábrica Sudeste;Flash;3,74;650,76;HIDRO;;
43847;JAN;29670;Produto D;277;T323;Fábrica Sudeste;Vai e Vêm;1,8;498,6;CREMES;;
43847;JAN;44847;Produto P;454;T350TA;Fábrica Nordeste;Del Monte;4,45;2020,3;TERCEIROS;;
43847;JAN;77891;Produto R;204;BT330;Fábrica Sudeste;Rapidex;9,15;1866,6;HIDRO;;
43847;JAN;71644;Produto J;322;T344;Fábrica Sudeste;Gavião;13,33;4292,26;CREMES;;
43847;JAN;48128;Produto F;344;BT330;Fábrica Sudeste;Novo Horizonte;9,15;3147,6;CREMES;;
43847;JAN;58880;Produto L;142;BT350;Fábrica Sudeste;Rapidex;7,62;1082,04;GIFT;;
43847;JAN;59587;Produto S;182;T347;Fábrica Sudeste;Del Monte;13,35;2429,7;TERCEIROS;;
43847;JAN;46609;Produto Q;248;T287A;Fábrica Sudeste;Vai e Vêm;6,83;1693,84;GIFT;;
43847;JAN;73791;Produto B;334;t288;Fábrica Sudeste;Novo Horizonte;6,39;2134,26;GIFT;;
43847;JAN;41763;Produto I;211;T112;Fábrica Nordeste;Vai e Vêm;3,68;776,48;HIDRO;;
43847;JAN;44452;Produto V;213;BT357;Fábrica Nordeste;Novo Horizonte;6,77;1442,01;TERCEIROS;;
43847;JAN;34905;Produto H;29;T355BT;Fábrica Nordeste;Vai e Vêm;5,49;159,21;TERCEIROS;;
43847;JAN;73791;Produto B;439;T328;Fábrica Nordeste;Vai e Vêm;8,67;3806,13;CREMES;;
43847;JAN;73791;Produto B;289;T331;Fábrica Nordeste;Gavião;5,78;1670,42;MAKE;;
43847;JAN;41763;Produto I;61;T323;Fábrica Nordeste;Vai e Vêm;2,97;181,17;CREMES;;
43847;JAN;41460;Produto E;67;T347;Fábrica Nordeste;Vai e Vêm;1,81;121,27;HIDRO;;
43847;JAN;79267;Produto X;459;T347;Fábrica Sudeste;Flash;10,56;4847,04;GIFT;;
43847;JAN;34905;Produto H;93;T342BT;Fábrica Sudeste;Flash;6,18;574,74;CREMES;;
43847;JAN;48128;Produto F;396;T360;Fábrica Sudeste;Vai e Vêm;6,9;2732,4;TERCEIROS;;
43847;JAN;36379;Produto G;238;BT38D;Fábrica Sudeste;Vai e Vêm;1,98;471,24;HIDRO;;
43847;JAN;38309;Produto W;443;T224;Fábrica Nordeste;Gavião;4,34;1922,62;GIFT;;
43847;JAN;65472;Produto U;301;T351;Fábrica Sudeste;Vai e Vêm;2,33;701,33;GIFT;;
43847;JAN;30581;Produto M;367;T333;Fábrica Nordeste;Flash;4,44;1629,48;GIFT;;
43847;JAN;44847;Produto P;226;T336;Fábrica Nordeste;Novo Horizonte;2,79;630,54;CREMES;;
43847;JAN;70118;Produto T;249;T333;Fábrica Sudeste;Vai e Vêm;2,28;567,72;HIDRO;;
43847;JAN;73791;Produto B;232;T213TA;Fábrica Sudeste;Vai e Vêm;5,05;1171,6;CREMES;;
43847;JAN;79267;Produto X;441;T324TA;Fábrica Nordeste;Gavião;5,02;2213,82;HIDRO;;
43848;JAN;41763;Produto I;255;t316b;Fábrica Nordeste;Del Monte;20,35;5189,25;CREMES;;
43848;JAN;73791;Produto B;429;T206;Fábrica Nordeste;Del Monte;0,56;240,24;TERCEIROS;;
